"","Most recent year:","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","#6 Ranked","#6 Ranked","#6 Ranked","#7 Ranked","#7 Ranked","#7 Ranked","#8 Ranked","#8 Ranked","#8 Ranked","#9 Ranked","#9 Ranked","#9 Ranked","#10 Ranked","#10 Ranked","#10 Ranked","Remaining native tree species","Remaining native tree species","Remaining native tree species","TOTAL native tree species","TOTAL native tree species","TOTAL native tree species","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","Remaining introduced tree species","Remaining introduced tree species","Remaining introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","Total growing stock","Total growing stock","Total growing stock"
"","Most recent year:","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest"
"Denmark","2022","Beech","37.46","25.83","Pedunculate Oak","17.64","12.16","Sycamore maple","7.95","5.48","Birch sp.","7.35","5.07","Scots pine","5.87","4.05","Ash","3.28","2.26","","","","","","","","","","","","","","12.67","8.73","","92.22","63.58","Norway Spruce","21.72","14.97","Sitka spruce","9.68","6.67","Larch sp.","4.85","3.34","SIlver fir","3.59","2.48","Nordmann fir","2.45","1.69","","10.54","7.27","","52.83","36.42","","145.05",""
"Djibouti","","","","","","","","Jujubier","","","","","","Genévrier","","","Olivier sauvage","","","Palmier de Bankoualeh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecuador","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt","2022","مانجروف","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Equatorial Guinea","","Okoume","","","Padouk","","","Okan","","","Andoung","","","Rikio","","","Ovengkol","","","Tali","","","Azobe","","","Eyoum","","","Ilomba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","1996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","2024","Scots pine","135.10","29.21","Silver birch, Downy birch","121.63","26.30","Norway spruce","100.92","21.82","European aspen","33.16","7.17","Grey alder","31.72","6.86","European alder","22.39","4.84","Willow species","4.15","0.90","European ash","3.07","0.66","Pedunculate oak","3.07","0.66","Bird cherry","0.99","0.21","","5.80","1.25","","462","99.89","Larch species","0.40","0.09","Poplar species (excl, aspen)","0.09","0.02","","","","","","","","","","","","","","0.49","0.11","","462.49",""
"Eswatini","2023","sicklebush","","","sweet acacia","","","marula","","","pink ivory","","","red bushwillow","","","paperbark acacia","","","umbrella thorn","","","waterberry","","","sycomore fig","","","natal mahogany","","","","","","","","","gum","","","pine","","","wattle","","","gum","","","pine","","","","","","","","","","",""
