,1990,2000,2010,2015,2020,2025
Saint Kitts and Nevis,42.30769230769231,42.30769230769231,42.30769230769231,42.30769230769231,42.30769230769231,42.30769230769231
Saint Lucia,44.36065573770492,47.63934426229508,50.91803278688525,52.55737704918033,53.426229508196734,53.8360655737705
Saint Martin (French Part),24.8,24.8,24.8,24.8,24.8,24.8
Saint Pierre and Miquelon,8.26086956521739,7.260869565217392,6.304347826086956,5.782608695652174,5.260869565217391,4.782608695652174
Saint Vincent and the Grenadines,73.12820512820512,73.17948717948718,73.2051282051282,73.2051282051282,73.23076923076923,73.23076923076923
Samoa,62.39575971731449,60.69611307420495,58.996466431095406,58.148409893992934,58.33093525179856,57.46762589928057
San Marino,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
Sao Tome and Principe,61.53125000000001,60.979166666666664,60.416666666666664,57.32291666666667,57.447916666666664,57.58333333333333
Saudi Arabia,1.287650777553973,1.287650777553973,1.287650777553973,1.287650777553973,1.287650777553973,1.2911396526941095
Senegal,47.7502726847764,46.94286604684984,46.13545940892328,45.73178205993871,45.328104710954136,44.92453124188438
Serbia,26.44637548593643,28.39240795792362,32.929224788474734,35.1978047107249,37.466270294992,41.32714948269711
Seychelles,74.19565217391305,69.47826086956522,64.76086956521739,62.39130434782608,60.02173913043478,57.652173913043484
Sierra Leone,43.318093654752005,40.5850651149903,37.852036575228595,36.48559157661403,35.11914657799945,33.75270157938487
Singapore,22.134328358208954,25.388059701492537,25.27065527065527,23.22990126939351,21.23955431754875,20.51532033426184
Sint Maarten (Dutch part),8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707,8.823529411764707
Slovakia,39.552598752598755,39.53035343035343,39.88085088686032,39.96817936025956,40.16680532445924,40.359608985024956
Slovenia,58.98709036742801,61.2214498510427,61.89752906255275,61.958237764737426,61.770227051508705,61.76214954431448
Solomon Islands,90.73633440514469,90.47302608074313,90.20936048588781,90.07752768846017,89.94640943193998,89.81529117541979
Somalia,13.204163611438775,11.980744094111646,10.75732457678452,9.530716995568591,8.304109414352663,7.698775783466701
South Africa,16.335605767090655,17.057464821241624,17.779323875392592,18.140253402468076,18.50117468613211,18.86209596979614
South Sudan,11.242067950564143,11.257892488092034,11.292706470653394,11.325621508711407,11.318500466823856,11.330368869969776
Spain,27.840501361524904,34.25637274549098,37.13163736725265,37.17590526376883,37.99781646363996,38.28873234081266
Sri Lanka,37.792058682825704,35.578695582841654,34.37984372508372,33.901248929604314,34.68170061429033,34.282088587132236
Sudan,15.029603854389723,14.097376873661672,13.16514989293362,12.699036402569593,12.232922912205566,11.766809421841543
Suriname,95.29647435897436,95.52551282051282,95.26935897435898,95.11929487179488,94.65038461538461,91.42370828546437
Svalbard and Jan Mayen Islands,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,68.89335854079532,69.13885388534435,68.91790807525021,68.69450488153267,68.58613226413543,68.5884057259312
Switzerland,29.181107541298797,30.264649326991194,31.24607753821237,31.599858285251546,31.831663123797956,32.068661793589406
Syrian Arab Republic,2.453966699314398,2.507182500816193,2.788106518542722,2.8713717802102052,2.873441158852039,2.8743124761749166
Tajikistan,2.9151186053158047,2.929408402400686,2.929408402400686,3.039123856185604,3.047770012248721,3.058577707327617
Thailand,39.60735187613772,39.470336080173816,39.33332028420991,39.26481238622795,39.80809959090998,38.45735872692752
Timor-Leste,74.01277740416946,73.0712844653665,72.12979152656355,71.65904505716206,71.18829858776058,70.90316072629454
Togo,23.86578415149844,23.321566464423608,22.77753263467549,22.505423791138078,22.233131090273947,22.51259422687994
Tokelau,0.0,0.0,0.0,0.0,0.0,0.0
Tonga,12.125000000000002,12.125000000000002,12.125000000000002,12.125000000000002,12.125000000000002,12.125000000000002
Trinidad and Tobago,46.959064327485386,46.13060428849903,45.30409356725146,44.890838206627684,44.47758284600389,44.06432748538012
Tunisia,4.145082389289392,4.298661174047374,4.52774201853759,4.537397013388259,4.499227600411946,4.4251416065911435
Türkiye,25.7051830100178,26.179267959928794,27.39378662474176,28.104803606928,28.87148369995972,29.632108935462494
Turkmenistan,4.9581852616347115,4.9581852616347115,4.9581852616347115,4.9581852616347115,4.9581852616347115,4.9581852616347115
Turks and Caicos Islands,11.073684210526315,11.073684210526315,11.073684210526315,11.073684210526315,11.073684210526315,11.073684210526315
Tuvalu,34.333333333333336,34.333333333333336,34.333333333333336,34.333333333333336,34.333333333333336,34.333333333333336
Uganda,22.76177368500075,17.020369350883342,14.459255934570118,13.208856971873129,12.508278475962499,11.807650109714741
Ukraine,16.007594718218694,16.414947786312247,16.481391976800385,16.744635674705243,17.086641353123923,17.414566793234382
United Arab Emirates,4.432131793860885,4.434947901999437,4.49943677837229,4.522951281329203,4.546606589693044,4.570261898056885
United Kingdom of Great Britain and Northern Ireland,11.482660273632868,12.210143429917744,12.644153267474062,13.040962261811268,13.28896788327202,13.549373785805813
United Republic of Tanzania,65.66380672838112,61.11424700835403,56.56468728832693,54.28990742831339,51.642582975841044,48.995258523368705
United States of America,33.022308209665724,33.13017358806888,33.7494069366007,33.89972254471753,33.80789337321343,33.76853801399739
United States Virgin Islands,58.31428571428572,55.114285714285714,52.65714285714286,54.74285714285715,56.885714285714286,59.02857142857143
Uruguay,5.024797166038168,7.63507027768255,9.689921151868358,10.481030739344076,11.038909838875558,11.784424637184324
Uzbekistan,5.847648320392692,6.792884749922585,7.6844723004781,8.05583295506128,8.371723590150912,8.837376602745943
Vanuatu,81.28712059064807,79.33141919606234,77.37489745693192,76.39704675963904,75.41919606234619,74.44134536505332
Venezuela (Bolivarian Republic of),57.23437446856754,55.81495380080494,54.85182245904427,54.281764072331505,53.66441811688679,53.38500085029193
Viet Nam,30.141966180158164,37.88368803446281,42.73321544619431,44.871164038891706,46.82789403660797,47.18797558617741
Wallis and Futuna Islands,68.78571428571429,65.28571428571429,67.71428571428572,70.85714285714285,74.07142857142857,76.19718309859155
Western Sahara,2.276127819548872,2.0283458646616537,2.0196616541353385,2.0281954887218046,2.004548872180451,1.989548872180451
Yemen,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549
Zambia,63.77809763381267,63.29651999623347,62.81494235865427,61.54925409273733,61.017864109014106,60.364398229731364
Zimbabwe,43.20894403515575,40.47612769807419,37.743311360992635,36.972133902029206,36.26989789324028,35.58487785963552
© FRA 2026,,,,,,
